EMPLOYEE1,EMPLOYEE2,similarity
EMPLOYEES1,EMPLOYEES965,1.0
EMPLOYEES10,EMPLOYEES11926,1.0
EMPLOYEES100,EMPLOYEES9515,1.0
EMPLOYEES1000,EMPLOYEES562,1.0
EMPLOYEES10000,EMPLOYEES8075,1.0
EMPLOYEES10001,EMPLOYEES11674,1.0
EMPLOYEES10002,EMPLOYEES8752,1.0
EMPLOYEES10003,EMPLOYEES5556,1.0
EMPLOYEES10004,EMPLOYEES5789,1.0
EMPLOYEES10005,EMPLOYEES9485,1.0
EMPLOYEES10006,EMPLOYEES7535,1.0
EMPLOYEES10007,EMPLOYEES8176,1.0
EMPLOYEES10008,EMPLOYEES11143,1.0
EMPLOYEES10009,EMPLOYEES8532,1.0
EMPLOYEES1001,EMPLOYEES11096,1.0
EMPLOYEES10010,EMPLOYEES11672,1.0
EMPLOYEES10011,EMPLOYEES11948,1.0
EMPLOYEES10012,EMPLOYEES6819,1.0
EMPLOYEES10013,EMPLOYEES11092,1.0
EMPLOYEES10014,EMPLOYEES6337,1.0
EMPLOYEES10015,EMPLOYEES10217,1.0
EMPLOYEES10016,EMPLOYEES3118,1.0
EMPLOYEES10017,EMPLOYEES10380,1.0
EMPLOYEES10018,EMPLOYEES5482,1.0
EMPLOYEES10019,EMPLOYEES8079,1.0
EMPLOYEES1002,EMPLOYEES14486,1.0
EMPLOYEES10020,EMPLOYEES10738,1.0
EMPLOYEES10021,EMPLOYEES7541,1.0
EMPLOYEES10022,EMPLOYEES10545,1.0
EMPLOYEES10023,EMPLOYEES7231,1.0
EMPLOYEES10024,EMPLOYEES10367,1.0
EMPLOYEES10025,EMPLOYEES4499,1.0
EMPLOYEES10026,EMPLOYEES1372,1.0
EMPLOYEES10027,EMPLOYEES11199,1.0
EMPLOYEES10028,EMPLOYEES5178,1.0
EMPLOYEES10029,EMPLOYEES6138,1.0
EMPLOYEES1003,EMPLOYEES738,1.0
EMPLOYEES10030,EMPLOYEES60,1.0
EMPLOYEES10031,EMPLOYEES2889,1.0
EMPLOYEES10032,EMPLOYEES4281,1.0
EMPLOYEES10033,EMPLOYEES14946,1.0
EMPLOYEES10034,EMPLOYEES13454,1.0
EMPLOYEES10035,EMPLOYEES3438,1.0
EMPLOYEES10036,EMPLOYEES2554,1.0
EMPLOYEES10037,EMPLOYEES3653,1.0
EMPLOYEES10038,EMPLOYEES14050,1.0
EMPLOYEES10039,EMPLOYEES7484,1.0
EMPLOYEES1004,EMPLOYEES14528,1.0
EMPLOYEES10040,EMPLOYEES13994,1.0
EMPLOYEES10041,EMPLOYEES5620,1.0
EMPLOYEES10042,EMPLOYEES1527,1.0
EMPLOYEES10043,EMPLOYEES3198,1.0
EMPLOYEES10044,EMPLOYEES8526,1.0
EMPLOYEES10045,EMPLOYEES10717,1.0
EMPLOYEES10046,EMPLOYEES4338,1.0
EMPLOYEES10047,EMPLOYEES8888,1.0
EMPLOYEES10048,EMPLOYEES3027,1.0
EMPLOYEES10049,EMPLOYEES2212,1.0
EMPLOYEES1005,EMPLOYEES561,1.0
EMPLOYEES10050,EMPLOYEES9497,1.0
EMPLOYEES10051,EMPLOYEES11334,1.0
EMPLOYEES10052,EMPLOYEES6026,1.0
EMPLOYEES10053,EMPLOYEES4896,1.0
EMPLOYEES10054,EMPLOYEES9392,1.0
EMPLOYEES10055,EMPLOYEES12544,1.0
EMPLOYEES10056,EMPLOYEES3554,1.0
EMPLOYEES10057,EMPLOYEES4765,1.0
EMPLOYEES10058,EMPLOYEES2783,1.0
EMPLOYEES10059,EMPLOYEES7366,1.0
EMPLOYEES1006,EMPLOYEES6488,1.0
EMPLOYEES10060,EMPLOYEES3351,1.0
EMPLOYEES10061,EMPLOYEES4157,1.0
EMPLOYEES10062,EMPLOYEES4199,1.0
EMPLOYEES10063,EMPLOYEES12553,1.0
EMPLOYEES10064,EMPLOYEES11505,1.0
EMPLOYEES10065,EMPLOYEES11799,1.0
EMPLOYEES10066,EMPLOYEES4105,1.0
EMPLOYEES10067,EMPLOYEES6297,1.0
EMPLOYEES10068,EMPLOYEES3734,1.0
EMPLOYEES10069,EMPLOYEES2256,1.0
EMPLOYEES1007,EMPLOYEES14797,1.0
EMPLOYEES10070,EMPLOYEES7115,1.0
EMPLOYEES10071,EMPLOYEES9042,1.0
EMPLOYEES10072,EMPLOYEES901,1.0
EMPLOYEES10073,EMPLOYEES9700,1.0
EMPLOYEES10074,EMPLOYEES4686,1.0
EMPLOYEES10075,EMPLOYEES8586,1.0
EMPLOYEES10076,EMPLOYEES11801,1.0
EMPLOYEES10077,EMPLOYEES2173,1.0
EMPLOYEES10078,EMPLOYEES12004,1.0
EMPLOYEES10079,EMPLOYEES4207,1.0
EMPLOYEES1008,EMPLOYEES5632,1.0
EMPLOYEES10080,EMPLOYEES10474,1.0
EMPLOYEES10081,EMPLOYEES10616,1.0
EMPLOYEES10082,EMPLOYEES1586,1.0
EMPLOYEES10083,EMPLOYEES6155,1.0
EMPLOYEES10084,EMPLOYEES2854,1.0
EMPLOYEES10085,EMPLOYEES6685,1.0
EMPLOYEES10086,EMPLOYEES2728,1.0
EMPLOYEES10087,EMPLOYEES4402,1.0
EMPLOYEES10088,EMPLOYEES12487,1.0
EMPLOYEES10089,EMPLOYEES7327,1.0
EMPLOYEES1009,EMPLOYEES12475,1.0
EMPLOYEES10090,EMPLOYEES11366,1.0
EMPLOYEES10091,EMPLOYEES5545,1.0
EMPLOYEES10092,EMPLOYEES4296,1.0
EMPLOYEES10093,EMPLOYEES4885,1.0
EMPLOYEES10094,EMPLOYEES8844,1.0
EMPLOYEES10095,EMPLOYEES6053,1.0
EMPLOYEES10096,EMPLOYEES337,1.0
EMPLOYEES10097,EMPLOYEES2288,1.0
EMPLOYEES10098,EMPLOYEES2384,1.0
EMPLOYEES10099,EMPLOYEES14351,1.0
EMPLOYEES101,EMPLOYEES1780,1.0
EMPLOYEES1010,EMPLOYEES12767,1.0
EMPLOYEES10100,EMPLOYEES5373,1.0
EMPLOYEES10101,EMPLOYEES7418,1.0
EMPLOYEES10102,EMPLOYEES4721,1.0
EMPLOYEES10103,EMPLOYEES9646,1.0
EMPLOYEES10104,EMPLOYEES11803,1.0
EMPLOYEES10105,EMPLOYEES2092,1.0
EMPLOYEES10106,EMPLOYEES14563,1.0
EMPLOYEES10107,EMPLOYEES6047,1.0
EMPLOYEES10108,EMPLOYEES6633,1.0
EMPLOYEES10109,EMPLOYEES14628,1.0
EMPLOYEES1011,EMPLOYEES1012,1.0
EMPLOYEES10110,EMPLOYEES3472,1.0
EMPLOYEES10111,EMPLOYEES4254,1.0
EMPLOYEES10112,EMPLOYEES9736,1.0
EMPLOYEES10113,EMPLOYEES6814,1.0
EMPLOYEES10114,EMPLOYEES12836,1.0
EMPLOYEES10115,EMPLOYEES6924,1.0
EMPLOYEES10116,EMPLOYEES2489,1.0
EMPLOYEES10117,EMPLOYEES10015,1.0
EMPLOYEES10118,EMPLOYEES5538,1.0
EMPLOYEES10119,EMPLOYEES2795,1.0
EMPLOYEES1012,EMPLOYEES113,1.0
EMPLOYEES10120,EMPLOYEES13788,1.0
EMPLOYEES10121,EMPLOYEES5517,1.0
EMPLOYEES10122,EMPLOYEES8722,1.0
EMPLOYEES10123,EMPLOYEES5295,1.0
EMPLOYEES10124,EMPLOYEES12066,1.0
EMPLOYEES10125,EMPLOYEES4872,1.0
EMPLOYEES10126,EMPLOYEES10274,1.0
EMPLOYEES10127,EMPLOYEES2431,1.0
EMPLOYEES10128,EMPLOYEES9896,1.0
EMPLOYEES10129,EMPLOYEES6948,1.0
EMPLOYEES1013,EMPLOYEES12595,1.0
EMPLOYEES10130,EMPLOYEES5858,1.0
EMPLOYEES10131,EMPLOYEES2609,1.0
EMPLOYEES10133,EMPLOYEES13281,1.0
EMPLOYEES10134,EMPLOYEES9216,1.0
EMPLOYEES10135,EMPLOYEES5478,1.0
EMPLOYEES10136,EMPLOYEES2322,1.0
EMPLOYEES10137,EMPLOYEES7705,1.0
EMPLOYEES10138,EMPLOYEES3527,1.0
EMPLOYEES10139,EMPLOYEES801,1.0
EMPLOYEES1014,EMPLOYEES14276,1.0
EMPLOYEES10140,EMPLOYEES4020,1.0
EMPLOYEES10141,EMPLOYEES3546,1.0
EMPLOYEES10142,EMPLOYEES11879,1.0
EMPLOYEES10143,EMPLOYEES5256,1.0
EMPLOYEES10144,EMPLOYEES8744,1.0
EMPLOYEES10145,EMPLOYEES14487,1.0
EMPLOYEES10146,EMPLOYEES14858,1.0
EMPLOYEES10147,EMPLOYEES5131,1.0
EMPLOYEES10148,EMPLOYEES4930,1.0
EMPLOYEES10149,EMPLOYEES13201,1.0
EMPLOYEES1015,EMPLOYEES14263,1.0
