EMPLOYEE1,EMPLOYEE2,similarity
EMPLOYEES30-10500,EMPLOYEES70-5099,1.0
EMPLOYEES30-10501,EMPLOYEES30-12953,1.0
EMPLOYEES30-10502,EMPLOYEES70-7463,1.0
EMPLOYEES30-10503,EMPLOYEES30-10760,1.0
EMPLOYEES30-10504,EMPLOYEES70-3421,1.0
EMPLOYEES30-10505,EMPLOYEES70-8439,1.0
EMPLOYEES30-10506,EMPLOYEES70-7559,1.0
EMPLOYEES30-10507,EMPLOYEES70-9039,1.0
EMPLOYEES30-10508,EMPLOYEES70-4513,1.0
EMPLOYEES30-10509,EMPLOYEES30-13306,1.0
EMPLOYEES30-10510,EMPLOYEES70-7204,1.0
EMPLOYEES30-10511,EMPLOYEES30-12325,1.0
EMPLOYEES30-10512,EMPLOYEES30-13480,1.0
EMPLOYEES30-10513,EMPLOYEES70-1127,1.0
EMPLOYEES30-10514,EMPLOYEES70-592,1.0
EMPLOYEES30-10515,EMPLOYEES70-9506,1.0
EMPLOYEES30-10516,EMPLOYEES30-11974,1.0
EMPLOYEES30-10517,EMPLOYEES30-11091,1.0
EMPLOYEES30-10518,EMPLOYEES30-12827,1.0
EMPLOYEES30-10519,EMPLOYEES70-5526,1.0
EMPLOYEES30-10520,EMPLOYEES70-5506,1.0
EMPLOYEES30-10521,EMPLOYEES70-8891,1.0
EMPLOYEES30-10522,EMPLOYEES70-2396,1.0
EMPLOYEES30-10523,EMPLOYEES70-9152,1.0
EMPLOYEES30-10524,EMPLOYEES30-13910,1.0
EMPLOYEES30-10525,EMPLOYEES70-8699,1.0
EMPLOYEES30-10526,EMPLOYEES30-13924,1.0
EMPLOYEES30-10527,EMPLOYEES70-621,1.0
EMPLOYEES30-10528,EMPLOYEES70-9684,1.0
EMPLOYEES30-10529,EMPLOYEES70-8460,1.0
EMPLOYEES30-10530,EMPLOYEES70-2554,1.0
EMPLOYEES30-10531,EMPLOYEES30-11895,1.0
EMPLOYEES30-10532,EMPLOYEES70-5342,1.0
EMPLOYEES30-10533,EMPLOYEES30-11216,1.0
EMPLOYEES30-10534,EMPLOYEES30-14463,1.0
EMPLOYEES30-10535,EMPLOYEES30-13547,1.0
EMPLOYEES30-10536,EMPLOYEES70-8597,1.0
EMPLOYEES30-10537,EMPLOYEES70-4190,1.0
EMPLOYEES30-10538,EMPLOYEES30-14813,1.0
EMPLOYEES30-10539,EMPLOYEES70-3233,1.0
EMPLOYEES30-10540,EMPLOYEES30-11933,1.0
EMPLOYEES30-10541,EMPLOYEES70-10427,1.0
EMPLOYEES30-10542,EMPLOYEES70-9632,1.0
EMPLOYEES30-10543,EMPLOYEES70-5863,1.0
EMPLOYEES30-10544,EMPLOYEES30-11939,1.0
EMPLOYEES30-10545,EMPLOYEES70-7882,1.0
EMPLOYEES30-10546,EMPLOYEES70-6550,1.0
EMPLOYEES30-10547,EMPLOYEES70-8679,1.0
